	1	2	3	4
1415670_at	8.85556979383675	8.53371575408394	8.79473799300791	8.62133951241362
1415671_at	10.7471801652203	10.8130890319717	11.1248636058673	11.0682095892415
1415672_at	10.6099423508487	10.6357293935487	10.5659174145856	10.4414324418355
1415673_at	7.72690556721484	7.08303756102431	7.45451198346664	7.39894362230344
1415674_a_at	8.62433551695532	8.69759267654932	9.00453474178313	9.12113906334592
1415675_at	8.53214999345122	8.38249175305654	8.59419054390956	8.59469464754922
1415676_a_at	10.9737882710702	10.8740928618005	11.1725689460883	11.0424175961465
1415677_at	8.79291223307949	8.79863874417186	8.58830477675321	8.51368195935672
1415678_at	9.57016519912405	9.60982355428163	9.5830531111395	9.66150938934742
1415679_at	10.4362837271485	10.5122098410569	10.1579976390556	9.89468905844316
1415680_at	9.08324369341467	9.05230395274783	9.17820823765694	9.02183136698336
1415681_at	8.86767418973928	8.87251023534081	9.45179755783974	9.27565456262273
1415682_at	7.02189357623251	6.9575430995362	7.15110841098685	7.14706956198336
1415683_at	10.8741070983662	10.7944844314307	10.646197899403	10.6554388005473
1415684_at	7.67591226636155	7.91568070091211	8.30218976499622	8.40588800585351
1415685_at	8.27296605629444	8.5797937039505	8.46536569776022	8.52786459682195
1415686_at	9.33913112401285	9.52831609705665	10.0377422381127	9.86651555965556
1415687_a_at	13.084050190277	13.0203229189552	12.9591761254478	12.7273657182716
1415688_at	8.98327623515364	8.73085048239466	8.96429031247609	8.92893795707472
1415689_s_at	6.4048870642821	6.61168262490304	6.17283587607873	6.17693160594622
1415690_at	10.4540820587365	10.4654430204027	10.5306184180643	10.4767988342493
1415691_at	7.74044964855794	7.84819043786461	8.27497837527214	8.24815149792651
1415692_s_at	11.2207434184766	11.5671506151748	11.4086740817076	11.3877472436296
1415693_at	8.60912685722977	8.69072292046512	8.81732671917956	8.6681482934146
1415694_at	8.05394618169518	7.87923984705853	8.02368378883905	7.71835578899679
1415695_at	11.1726781929506	11.1280814861986	11.1062886982713	11.1619488732631
1415696_at	9.25948447566453	9.25053101248665	9.22333957996605	9.30118142259905
